id,nbr_children,career,shopping_price
1,1,Data Coordiator,378
2,5,Sales Associate,553
3,2,Civil Engineer,290
4,2,Food Chemist,183
5,1,VP Product Management,322
6,1,Automation Specialist IV,332
7,1,Librarian,383
8,5,Health Coach IV,501
9,3,Budget/Accounting Analyst II,162
10,5,Database Administrator III,355
11,4,Research Assistant III,297
12,4,Developer III,335
13,5,Assistant Professor,302
14,2,Human Resources Manager,232
15,5,Programmer Analyst III,497
16,3,Associate Professor,525
17,1,Environmental Specialist,369
18,2,Mechanical Systems Engineer,417
19,4,Accounting Assistant II,281
20,0,Analog Circuit Design manager,501
21,1,Environmental Tech,425
22,5,VP Accounting,254
23,3,VP Accounting,314
24,3,Marketing Assistant,130
25,2,General Manager,336
26,5,Electrical Engineer,581
27,2,Teacher,138
28,5,Media Manager II,377
29,0,Internal Auditor,389
30,1,Programmer IV,462
31,0,Assistant Manager,285
32,1,Payment Adjustment Coordinator,288
33,5,Environmental Specialist,487
34,2,Compensation Analyst,535
35,3,Programmer Analyst I,480
36,4,Systems Administrator IV,302
37,1,Staff Accountant IV,141
38,0,Sales Representative,493
39,0,Registered Nurse,453
40,5,Structural Engineer,351
41,4,Biostatistician IV,396
42,5,Budget/Accounting Analyst IV,424
43,0,Compensation Analyst,412
44,2,Business Systems Development Analyst,359
45,4,Paralegal,360
46,3,Executive Secretary,416
47,3,Technical Writer,431
48,0,Editor,353
49,2,Electrical Engineer,292
50,1,Paralegal,297
51,0,Senior Financial Analyst,334
52,5,Information Systems Manager,449
53,1,Payment Adjustment Coordinator,488
54,1,GIS Technical Architect,226
55,1,Electrical Engineer,485
56,3,Software Engineer II,381
57,0,Senior Editor,366
58,4,Junior Executive,254
59,5,Tax Accountant,366
60,1,Staff Scientist,394
61,2,Statistician III,191
62,1,Assistant Manager,229
63,3,Database Administrator I,267
64,5,Engineer III,356
65,3,Account Executive,474
66,0,Web Designer II,278
67,1,Software Consultant,395
68,1,Occupational Therapist,368
69,5,Research Nurse,534
70,4,Compensation Analyst,379
71,5,Financial Advisor,356
72,4,Editor,328
73,1,Web Designer II,428
74,3,Health Coach II,502
75,5,Environmental Specialist,414
76,5,Web Designer III,470
77,2,Business Systems Development Analyst,211
78,4,Nurse Practicioner,305
79,4,Developer IV,233
80,4,Quality Engineer,366
81,2,Nurse,392
82,0,Staff Scientist,250
83,5,Geological Engineer,361
84,2,Account Executive,513
85,0,Quality Engineer,391
86,4,Automation Specialist III,448
87,0,Computer Systems Analyst I,320
88,1,Registered Nurse,125
89,3,Assistant Manager,305
90,3,Developer IV,224
91,5,Technical Writer,215
92,0,Programmer Analyst II,347
93,5,Web Developer I,373
94,2,Chief Design Engineer,422
95,2,Chemical Engineer,340
96,1,Information Systems Manager,317
97,4,Web Developer III,294
98,5,VP Sales,336
99,4,Community Outreach Specialist,538
100,5,Quality Control Specialist,375
101,3,Programmer III,399
102,1,Sales Representative,294
103,2,Electrical Engineer,284
104,0,Research Nurse,564
105,0,Financial Analyst,203
106,1,Environmental Specialist,301
107,0,Recruiting Manager,444
108,4,Account Representative IV,247
109,2,Internal Auditor,314
110,1,Administrative Officer,410
111,3,Staff Accountant IV,475
112,3,Technical Writer,280
113,0,Software Consultant,451
114,1,Recruiter,264
115,0,Web Designer II,537
116,4,Financial Advisor,511
117,0,Dental Hygienist,278
118,4,Professor,294
119,4,Senior Quality Engineer,304
120,1,Quality Control Specialist,336
121,2,Analyst Programmer,477
122,4,Structural Analysis Engineer,407
123,3,Nurse,398
124,0,Legal Assistant,344
125,1,Associate Professor,304
126,2,Product Engineer,525
127,4,VP Sales,330
128,5,Web Designer IV,344
129,4,Tax Accountant,200
130,1,Engineer I,312
131,2,Staff Scientist,212
132,0,Financial Advisor,535
133,5,Recruiting Manager,441
134,5,Health Coach I,247
135,2,Environmental Tech,447
136,5,Assistant Media Planner,327
137,1,Assistant Media Planner,353
138,2,Staff Scientist,310
139,0,Data Coordiator,483
140,2,Accounting Assistant I,484
141,4,Marketing Manager,343
142,1,Senior Sales Associate,200
143,1,Research Nurse,533
144,0,Statistician III,420
145,5,Staff Scientist,385
146,4,Financial Analyst,467
147,1,GIS Technical Architect,508
148,3,Biostatistician II,299
149,0,Assistant Media Planner,222
150,1,Budget/Accounting Analyst II,477
151,1,Clinical Specialist,317
152,5,Senior Sales Associate,391
153,3,VP Marketing,422
154,3,Actuary,196
155,1,Executive Secretary,454
156,3,Nurse,465
157,1,Biostatistician III,199
158,5,Programmer Analyst III,423
159,5,Social Worker,365
160,2,Legal Assistant,411
161,4,VP Product Management,285
162,1,Account Coordinator,383
163,4,Cost Accountant,339
164,0,Clinical Specialist,268
165,5,Executive Secretary,319
166,3,Technical Writer,263
167,2,Junior Executive,216
168,3,Associate Professor,398
169,0,Assistant Media Planner,191
170,3,Developer III,316
171,1,Account Executive,282
172,2,Tax Accountant,281
173,3,Actuary,321
174,0,Database Administrator II,372
175,4,Administrative Officer,350
176,4,Technical Writer,115
177,3,Graphic Designer,303
178,0,Marketing Assistant,470
179,2,Biostatistician I,333
180,5,Librarian,400
181,1,Payment Adjustment Coordinator,392
182,5,Marketing Assistant,246
183,5,Cost Accountant,412
184,5,Software Engineer II,344
185,1,Graphic Designer,466
186,3,Graphic Designer,380
187,0,Staff Scientist,390
188,4,Help Desk Operator,194
189,0,Dental Hygienist,349
190,4,Occupational Therapist,268
191,0,VP Quality Control,187
192,4,Assistant Manager,185
193,1,Registered Nurse,399
194,4,Marketing Assistant,371
195,0,Health Coach IV,287
196,2,Financial Analyst,476
197,2,Community Outreach Specialist,169
198,0,Office Assistant IV,277
199,0,Software Engineer III,364
200,1,Senior Developer,382
201,4,Software Consultant,233
202,5,Assistant Professor,406
203,4,Nurse Practicioner,229
204,0,Automation Specialist III,316
205,2,Nuclear Power Engineer,399
206,4,Software Test Engineer III,480
207,0,Editor,193
208,1,Chemical Engineer,450
209,3,Operator,396
210,0,Clinical Specialist,321
211,2,Environmental Tech,498
212,1,Analyst Programmer,389
213,4,Assistant Media Planner,520
214,5,Design Engineer,452
215,4,Software Engineer I,445
216,4,Assistant Media Planner,225
217,2,Graphic Designer,316
218,3,Analog Circuit Design manager,361
219,4,Physical Therapy Assistant,280
220,0,Administrative Officer,282
221,2,Senior Cost Accountant,188
222,4,Editor,433
223,4,Software Test Engineer III,397
224,5,VP Accounting,331
225,1,Human Resources Assistant IV,325
226,3,Geologist IV,282
227,1,Geological Engineer,404
228,2,Administrative Officer,254
229,3,Information Systems Manager,263
230,5,VP Quality Control,573
231,2,Administrative Assistant III,501
232,1,Product Engineer,573
233,4,Structural Engineer,379
234,2,Environmental Specialist,329
235,3,Sales Associate,465
236,5,Staff Scientist,370
237,4,Help Desk Operator,143
238,3,Mechanical Systems Engineer,331
239,5,Structural Engineer,460
240,2,Social Worker,352
241,5,Design Engineer,342
242,3,Accountant III,235
243,4,Statistician I,225
244,3,Software Engineer IV,310
245,1,Automation Specialist II,275
246,3,Speech Pathologist,430
247,3,Nurse,508
248,4,Marketing Manager,417
249,2,Director of Sales,368
250,5,Design Engineer,389
251,3,Pharmacist,379
252,3,Product Engineer,386
253,5,Operator,305
254,5,Recruiter,315
255,1,Design Engineer,378
256,4,Technical Writer,312
257,3,Software Consultant,406
258,5,VP Product Management,323
259,2,Assistant Media Planner,387
260,4,Office Assistant IV,392
261,1,Professor,454
262,2,Associate Professor,515
263,2,Biostatistician III,405
264,3,Environmental Specialist,356
265,3,Product Engineer,467
266,1,Structural Analysis Engineer,310
267,3,Teacher,353
268,5,Web Developer I,369
269,2,Geologist II,403
270,4,Professor,394
271,1,Software Engineer I,277
272,2,Engineer II,402
273,5,Programmer IV,365
274,0,Quality Control Specialist,312
275,0,Programmer III,382
276,5,Research Associate,383
277,1,Marketing Manager,409
278,2,Technical Writer,516
279,0,Assistant Professor,364
280,0,Information Systems Manager,394
281,2,Administrative Officer,231
282,4,VP Product Management,214
283,0,Structural Engineer,383
284,5,Dental Hygienist,309
285,0,Operator,400
286,5,Nurse Practicioner,265
287,5,Media Manager II,402
288,2,Automation Specialist II,520
289,2,Pharmacist,346
290,4,Software Test Engineer IV,311
291,2,Financial Analyst,233
292,0,Internal Auditor,509
293,2,Quality Control Specialist,358
294,2,Community Outreach Specialist,300
295,0,Associate Professor,422
296,2,Registered Nurse,415
297,0,Research Assistant I,326
298,1,Actuary,523
299,4,Food Chemist,176
300,0,Administrative Officer,184
301,0,Junior Executive,246
302,1,Marketing Assistant,478
303,5,Assistant Professor,411
304,4,Clinical Specialist,482
305,2,Social Worker,509
306,3,Assistant Media Planner,168
307,0,Web Designer II,354
308,5,Account Representative II,312
309,5,Account Executive,481
310,5,Chemical Engineer,287
311,5,Senior Cost Accountant,291
312,5,VP Marketing,106
313,2,Associate Professor,415
314,0,Software Engineer II,248
315,2,Desktop Support Technician,297
316,0,Structural Analysis Engineer,343
317,1,Nurse,422
318,5,Geologist IV,310
319,3,VP Sales,558
320,2,Social Worker,382
321,1,Cost Accountant,452
322,2,Nuclear Power Engineer,298
323,5,Mechanical Systems Engineer,306
324,1,Database Administrator II,187
325,1,Research Nurse,338
326,3,Administrative Assistant IV,228
327,4,Account Representative IV,245
328,4,Computer Systems Analyst IV,359
329,0,Director of Sales,199
330,0,Analyst Programmer,304
331,4,Social Worker,356
332,0,Human Resources Assistant IV,340
333,0,Budget/Accounting Analyst III,245
334,3,Computer Systems Analyst III,352
335,2,Executive Secretary,223
336,3,Statistician III,289
337,0,Food Chemist,323
338,0,Help Desk Technician,306
339,1,Systems Administrator I,288
340,0,Librarian,449
341,4,Account Coordinator,436
342,5,Senior Sales Associate,236
343,1,Legal Assistant,460
344,1,Professor,303
345,2,Sales Associate,281
346,1,Quality Engineer,468
347,5,Recruiting Manager,247
348,5,Engineer III,514
349,1,Developer I,442
350,1,Graphic Designer,133
351,5,Legal Assistant,323
352,4,Project Manager,439
353,3,Desktop Support Technician,480
354,2,Quality Control Specialist,357
355,0,VP Accounting,431
356,2,VP Quality Control,322
357,5,Occupational Therapist,434
358,4,Research Assistant I,249
359,1,Chief Design Engineer,375
360,3,Senior Financial Analyst,145
361,0,Analog Circuit Design manager,157
362,4,Registered Nurse,523
363,4,Statistician IV,146
364,3,Engineer IV,519
365,5,VP Quality Control,492
366,2,Help Desk Technician,384
367,4,Graphic Designer,246
368,3,Marketing Assistant,259
369,5,VP Sales,303
370,5,Quality Control Specialist,304
371,5,Nurse Practicioner,289
372,0,Computer Systems Analyst III,283
