id,nbr_children,career,shopping_price,cloths,underwear,sportswear,accessories
1,1.0,Data Coordiator,378.0,57,17,300,4
2,5.0,Sales Associate,553.0,248,40,245,20
3,2.0,Civil Engineer,290.0,102,19,152,17
4,2.0,Food Chemist,183.0,39,16,113,15
5,1.0,VP Product Management,322.0,32,45,233,12
6,1.0,Automation Specialist IV,332.0,69,44,202,17
7,1.0,Librarian,383.0,245,35,89,14
8,5.0,Health Coach IV,501.0,189,40,258,14
9,3.0,Budget/Accounting Analyst II,162.0,50,41,59,12
10,5.0,Database Administrator III,355.0,156,5,188,6
11,4.0,Research Assistant III,297.0,34,45,212,6
12,4.0,Developer III,335.0,173,47,98,17
13,5.0,Assistant Professor,302.0,31,20,232,19
14,2.0,Human Resources Manager,232.0,86,21,106,19
15,5.0,Programmer Analyst III,497.0,171,11,300,15
16,3.0,Associate Professor,525.0,222,27,273,3
17,1.0,Environmental Specialist,369.0,179,43,128,19
18,2.0,Mechanical Systems Engineer,417.0,197,31,177,12
19,4.0,Accounting Assistant II,281.0,43,29,194,15
20,0.0,Analog Circuit Design manager,501.0,216,22,244,19
21,1.0,Environmental Tech,425.0,136,24,250,15
22,5.0,VP Accounting,254.0,98,13,139,4
23,3.0,VP Accounting,314.0,166,44,92,12
24,3.0,Marketing Assistant,130.0,25,38,62,5
25,2.0,General Manager,336.0,25,12,287,12
26,5.0,Electrical Engineer,581.0,244,50,268,19
27,2.0,Teacher,138.0,35,43,57,3
28,5.0,Media Manager II,377.0,128,44,200,5
29,0.0,Internal Auditor,389.0,90,18,262,19
30,1.0,Programmer IV,462.0,114,41,297,10
31,0.0,Assistant Manager,285.0,47,13,210,15
32,1.0,Payment Adjustment Coordinator,288.0,55,25,198,10
33,5.0,Environmental Specialist,487.0,192,50,225,20
34,2.0,Compensation Analyst,535.0,194,50,288,3
35,3.0,Programmer Analyst I,480.0,139,23,300,18
36,4.0,Systems Administrator IV,302.0,173,12,110,7
37,1.0,Staff Accountant IV,141.0,45,43,45,8
38,0.0,Sales Representative,493.0,168,33,276,16
39,0.0,Registered Nurse,453.0,197,26,218,12
40,5.0,Structural Engineer,351.0,225,22,86,18
41,4.0,Biostatistician IV,396.0,70,26,290,10
42,5.0,Budget/Accounting Analyst IV,424.0,247,11,151,15
43,0.0,Compensation Analyst,412.0,242,10,145,15
44,2.0,Business Systems Development Analyst,359.0,228,22,99,10
45,4.0,Paralegal,360.0,22,47,286,5
46,3.0,Executive Secretary,416.0,82,35,280,19
47,3.0,Technical Writer,431.0,194,31,187,19
48,0.0,Editor,353.0,200,9,142,2
49,2.0,Electrical Engineer,292.0,147,23,102,20
50,1.0,Paralegal,297.0,41,46,199,11
51,0.0,Senior Financial Analyst,334.0,104,18,194,18
52,5.0,Information Systems Manager,449.0,188,25,231,5
53,1.0,Payment Adjustment Coordinator,488.0,195,13,278,2
54,1.0,GIS Technical Architect,226.0,58,49,104,15
55,1.0,Electrical Engineer,485.0,138,38,295,14
56,3.0,Software Engineer II,381.0,244,43,75,19
57,0.0,Senior Editor,366.0,202,19,136,9
58,4.0,Junior Executive,254.0,56,36,158,4
